NAALAD2	NAALAD2_rna-XM_015280387.2
FAM126B	FAM126B_rna-XM_015289464.2
NPY2R	NPY2R_ENSGALT00000099583.1
RASSF6	RASSF6_rna-XM_015276398.2
FOXI2	FOXI2_rna-XM_003641507.4
CREG2	CREG2_rna-XM_001233981.5
EIF4ENIF1	EIF4ENIF1_rna-XM_004934369.3
FKBP11	FKBP11_rna-XM_025145686.1
TFPI	TFPI_rna-XM_025152302.1
USP42	USP42_rna-XM_025155309.1
IL13RA2	IL13RA2_rna-NM_001048078.1
ANO6	ANO6_rna-XM_004937550.3
PALLD	PALLD_rna-XM_025149830.1
CD200R1L	CD200R1L_rna-XM_025149263.1
CTTNBP2NL	CTTNBP2NL_rna-XM_025143933.1
KAT5	KAT5_rna-XM_015273026.1
CPZ	CPZ_rna-NM_204578.3
LIMCH1	LIMCH1_rna-XM_015285464.1
PRKACA	PRKACA_rna-XM_015285017.2
RBFOX2	RBFOX2_rna-XM_015288060.2
C1orf53	C1orf53_rna-XM_025153150.1
PTPRQ	PTPRQ_rna-XM_015283324.1
EMSY	EMSY_rna-XM_025146941.1_shortIntron
CHRD	CHRD_rna-XM_015291372.2
HNRNPA3	HNRNPA3_rna-XM_025152381.1
MGAT4D	MGAT4D_rna-XM_025150512.1
SPATS2L	SPATS2L_rna-XM_025152173.1
EFNA5	EFNA5_rna-NM_205184.2
ZNHIT3	ZNHIT3_rna-XM_025142041.1
NENF	NENF_rna-XM_419430.5
PXN	PXN_rna-XM_015275208.2
NSUN7	NSUN7_rna-XM_015285460.2
SORCS1	SORCS1_rna-XM_025151799.1
TMEM163	TMEM163_ENSGALT00000019903.6
MYO1H	MYO1H_rna-XM_025155693.1
ANAPC16	ANAPC16_rna-XM_421587.6
PARP9	PARP9_rna-XM_015289953.2
COX16	COX16_rna-XM_025150715.1
TRAK1	TRAK1_rna-XM_015281729.2
GTDC1	GTDC1_rna-XM_025152228.1
TAF12	TAF12_rna-NM_001030894.2
LETM2	LETM2_rna-XM_025142904.1
KLHDC3	KLHDC3_rna-XM_015283404.2
SLC16A12	SLC16A12_ENSGALT00000010362.6
CCDC134	CCDC134_rna-XM_015289056.2
PLA2G4A	PLA2G4A_rna-XM_015290570.2
TNFRSF1A	TNFRSF1A_rna-NM_001030779.1
STMN1	STMN1_ENSGALT00000087509.2
MGRN1	MGRN1_ENSGALT00000104531.1
ZFAND6	ZFAND6_ENSGALT00000105509.1
UTP23	UTP23_ENSGALT00000071719.2
GTF2I	GTF2I_rna-XM_015295950.2
TRAK1	TRAK1_rna-XM_004939475.3
MAN1B1	MAN1B1_ENSGALT00000077641.2
SMAD3	SMAD3_rna-XM_025153793.1
RUBCNL	RUBCNL_rna-XM_025146803.1
NOBOX	NOBOX_rna-XM_015292281.2
TPTE2	TPTE2_rna-XM_015275958.2
GALNT16	GALNT16_ENSGALT00000015383.6
PPCDC	PPCDC_rna-XM_425049.6
ZNF740	ZNF740_ENSGALT00000086793.2
ZC3H13	ZC3H13_rna-XM_004938691.2
NADK	NADK_rna-XM_025142505.1
SWAP70	SWAP70_rna-XM_015286385.1
IL17D	IL17D_ENSGALT00000057600.2
ANKRD6	ANKRD6_rna-XM_015284696.2
LYRM1	LYRM1_rna-NM_001162376.2
PHKB	PHKB_rna-XM_015292391.2
CCND2	CCND2_ENSGALT00000083605.2
POU1F1	POU1F1_rna-XM_015295656.2
KLHDC1	KLHDC1_rna-XM_421458.6
EYA4	EYA4_rna-XM_015284020.2
SPSB3	SPSB3_rna-XM_025155395.1
FAM129B	FAM129B_ENSGALT00000040078.5
ZNF385D	ZNF385D_rna-XM_015281800.2
SLCO2B1	SLCO2B1_rna-XM_015281021.2
LRRC56	LRRC56_rna-XM_025150973.1
FBXW2	FBXW2_ENSGALT00000001266.3
BRPF1	BRPF1_rna-XM_015293135.2
BG2	BG2_rna-XM_025155819.1
SCPEP1	SCPEP1_rna-NM_001012803.1
UBAC2	UBAC2_rna-XM_015274298.2
PDK3	PDK3_ENSGALT00000026334.4
SYNPR	SYNPR_ENSGALT00000011799.2
ITGB3	ITGB3_rna-NM_204315.1
ASB18	ASB18_ENSGALT00000086953.2
C8H1ORF112	C8H1ORF112_rna-XM_015290436.2
GRB2	GRB2_ENSGALT00000013008.5
ANK2	ANK2_rna-XM_025150220.1
ADD2	ADD2_ENSGALT00000064031.2
ARL14	ARL14_ENSGALT00000057743.2
LIN52	LIN52_rna-XM_025150746.1
WIPF1	WIPF1_rna-XM_025152191.1
UNC93B1	UNC93B1_rna-XM_015286089.1
MAP2	MAP2_rna-XM_015289335.2
CCDC43	CCDC43_rna-NM_001007884.1
PGAM1	PGAM1_rna-NM_001031556.2
TMEM126A	TMEM126A_rna-XM_025146927.1
SLC35F1	SLC35F1_rna-XM_001233613.5
RBM41	RBM41_rna-XM_426256.6
RPP25	RPP25_rna-XM_025154136.1
RSPO1	RSPO1_ENSGALT00000003012.6
ITGB1BP1	ITGB1BP1_rna-XM_015276033.1
GBE1	GBE1_rna-XM_015298431.2
DEPDC5	DEPDC5_rna-XM_015275421.2
MRE11	MRE11_rna-XM_015279904.2
TOX3	TOX3_rna-NM_001277138.1
MID2	MID2_ENSGALT00000006133.6
SGO2	SGO2_rna-XM_025152664.1
QRICH1	QRICH1_ENSGALT00000011121.6
CHST2	CHST2_rna-XM_003641759.4
ARNT2	ARNT2_rna-XM_025153947.1
TBC1D9	TBC1D9_rna-XM_004940948.3
DNAH17	DNAH17_rna-XM_025141720.1
OR6B1	OR6B1_rna-NM_001030392.1_shortIntron
RNF220	RNF220_rna-XM_015291000.2
NPHP1	NPHP1_rna-XM_015283359.2
TCP1	TCP1_rna-NM_001006405.1
CREM	CREM_rna-NM_001278132.1
HM13	HM13_ENSGALT00000048828.2
MTCH2	MTCH2_rna-NM_204808.2
SLC11A1	SLC11A1_rna-XM_015289782.2
UBB	UBB_rna-NM_001353988.1
ADAM17	ADAM17_rna-NM_001008682.1
TNRC6C	TNRC6C_rna-XM_015295278.1
TBL1X	TBL1X_rna-XM_015273688.2
IFT20	IFT20_rna-XM_415917.6
ABL2	ABL2_ENSGALT00000063074.2
CPLX4	CPLX4_ENSGALT00000078589.2
ATRNL1	ATRNL1_rna-XM_015288928.2
NIPAL1	NIPAL1_rna-XM_004936053.3
SCAMP1	SCAMP1_rna-NM_001277993.1
MRPL38	MRPL38_rna-NM_001114629.1
AARSD1	AARSD1_rna-NM_001328355.1
GSDMA	GSDMA_rna-XM_015299512.2
DLEC1	DLEC1_ENSGALT00000009358.7
MYCBP2	MYCBP2_rna-XM_015277224.2
FGB	FGB_rna-NM_001167683.1
SFTPA2	SFTPA2_rna-NM_204606.1
PCDHGA2L	PCDHGA2L_rna-XM_025154942.1
GABARAPL2	GABARAPL2_rna-XM_001232688.5
CLK2	CLK2_rna-XM_025143397.1
EEF1AKMT1	EEF1AKMT1_ENSGALT00000027677.5
GLRX2	GLRX2_rna-XM_004943130.3
IL13	IL13_rna-NM_001007085.2
NF2	NF2_rna-XM_025155421.1
ALKBH8	ALKBH8_rna-XM_004938829.3
POR	POR_ENSGALT00000097118.1
SFRP4	SFRP4_rna-XM_015281689.2
HTRA1	HTRA1_rna-XM_015288895.2
LIN54	LIN54_ENSGALT00000018147.7
ECEL1	ECEL1_ENSGALT00000071827.2
ZNF385B	ZNF385B_rna-XM_025152690.1
TOR4A	TOR4A_rna-XM_415532.6
IGSF1L3	IGSF1L3_rna-XM_015296221.2
TRERF1	TRERF1_rna-XM_015283853.2
ATP8B3	ATP8B3_rna-XM_015299876.2
RNF19AL	RNF19AL_rna-XM_004935816.3
BROX	BROX_ENSGALT00000015332.6
DLG2	DLG2_rna-XM_025146903.1
TTLL11	TTLL11_rna-XM_015279833.2
EPB41L1	EPB41L1_rna-XM_015296232.2
NEUROD4	NEUROD4_rna-NM_205076.1
FNTA	FNTA_rna-XM_424881.6
DLX1	DLX1_ENSGALT00000006647.6
TJP1	TJP1_rna-XM_015278976.2
SFI1	SFI1_rna-XM_025155721.1
HNRNPKL	HNRNPKL_rna-XM_015300426.2
INPP5E	INPP5E_rna-XM_015279803.2
ARPC1A	ARPC1A_rna-NM_001079495.2
DNM3	DNM3_rna-XM_015290423.2
IGFALS	IGFALS_rna-XM_425222.6
ARCN1	ARCN1_rna-NM_001079499.1
SOX13	SOX13_rna-XM_015299130.2
SGSM2	SGSM2_rna-XM_025142095.1
LIFR	LIFR_ENSGALT00000005924.6
MAN1C1	MAN1C1_ENSGALT00000001539.7
ABCC5	ABCC5_rna-XM_004943392.3
TCTN3	TCTN3_rna-XM_015288984.2
CYP2W1	CYP2W1_rna-XM_025155215.1
PTK2B	PTK2B_rna-XM_015285224.2
C1H21ORF59	C1H21ORF59_ENSGALT00000047798.3
AVD	AVD_rna-NM_205320.1
MAPT	MAPT_rna-XM_015299342.2
COL26A1	COL26A1_ENSGALT00000071614.2
STAT2	STAT2_rna-XM_015300285.2
ARNT	ARNT_rna-XM_025143391.1
HSDL1	HSDL1_rna-NM_001005837.1
FSTL4	FSTL4_rna-NM_204502.2
USP3	USP3_ENSGALT00000005420.6
MTF2	MTF2_rna-NM_204508.1
HP1BP3	HP1BP3_ENSGALT00000016382.5
ZNF423	ZNF423_rna-XM_004944183.3
C1D	C1D_rna-XM_015278043.2
TERB1	TERB1_rna-XM_025154379.1
STK10	STK10_ENSGALT00000004451.6
CYTIP	CYTIP_ENSGALT00000020489.6
SYNCRIP	SYNCRIP_rna-NM_001031083.1
SLC19A1	SLC19A1_ENSGALT00000077581.2
CFAP77	CFAP77_rna-XM_415451.6
TMPRSS13	TMPRSS13_rna-XM_015298243.1
FAIM	FAIM_rna-XM_025152703.1
SGCZ	SGCZ_rna-XM_015285552.2
RALA	RALA_rna-XM_025147575.1
PCBP4	PCBP4_rna-XM_015292856.2
CCDC14	CCDC14_rna-XM_025152562.1
RAB37	RAB37_rna-XM_025141859.1
GLI2	GLI2_rna-NM_001271902.1
SLK	SLK_ENSGALT00000096717.1
SLC10A7	SLC10A7_rna-XM_015276178.2
ADGRG4	ADGRG4_rna-XM_015278477.2
ARMC8	ARMC8_rna-XM_025153327.1
MEGF11	MEGF11_rna-XM_004943899.3
MTUS1	MTUS1_rna-XM_015285556.2
RAX	RAX_rna-NM_001243724.1
EFCAB10	EFCAB10_rna-XM_025153708.1
PACRGL	PACRGL_rna-XM_025149901.1_potentialNMD
DECR1	DECR1_rna-XM_418328.6
UBE2Q2	UBE2Q2_rna-XM_015279016.1
SMOC1	SMOC1_rna-XM_001231760.5
LCMT2	LCMT2_rna-XM_015280921.2
LHX9	LHX9_rna-XM_025152770.1
PIK3CD	PIK3CD_rna-XM_015296889.2
HNRNPK	HNRNPK_rna-XM_015280375.2
FHL5	FHL5_rna-NM_001277723.1
SRSF5	SRSF5_rna-XM_015287318.2
KCNMA1	KCNMA1_rna-XM_015288164.2
ABLIM1	ABLIM1_rna-XM_025151625.1
AGAP1	AGAP1_rna-XM_015289264.2
GRM2	GRM2_ENSGALT00000006095.6
CDK12	CDK12_rna-XM_003642804.4
PDZD2	PDZD2_rna-XM_015277500.1
TSG101	TSG101_ENSGALT00000010207.6
H6PD	H6PD_rna-XM_425746.6
AIMP1	AIMP1_rna-XM_420496.6
CUL4B	CUL4B_rna-XM_420335.6
CXCR5	CXCR5_rna-NM_001305214.1
BG1	BG1_rna-XM_025155763.1
PLCG1	PLCG1_rna-XM_015296749.2
UNC5B	UNC5B_ENSGALT00000033690.5
GJC1	GJC1_rna-XM_015299222.2
PTPRZ1	PTPRZ1_rna-XM_015280868.2
CBR4	CBR4_rna-XM_004940932.3
RAB11FIP5	RAB11FIP5_rna-XM_015286062.2
SEL1L	SEL1L_rna-XM_421303.6
CAMKK1	CAMKK1_rna-XM_025142056.1
MGME1	MGME1_ENSGALT00000076330.2
EPC2	EPC2_ENSGALT00000020355.6
CAMKK1	CAMKK1_rna-XM_025142053.1
FAM20B	FAM20B_ENSGALT00000006730.3
FYN	FYN_rna-XM_025148571.1
CHST6	CHST6_rna-XM_015292617.2
SCAF8	SCAF8_rna-XM_015284248.2
TECPR1	TECPR1_rna-XM_004945102.3
TMBIM6	TMBIM6_ENSGALT00000082503.3
KIAA1109	KIAA1109_rna-XM_004941219.3
DEPDC5	DEPDC5_rna-XM_004934359.3
TRAPPC8	TRAPPC8_rna-XM_015282601.2
FUNDC1	FUNDC1_rna-NM_001276363.1
PHLDB1	PHLDB1_rna-XM_015298287.2
KCNIP1	KCNIP1_ENSGALT00000003332.7
PSMD11	PSMD11_ENSGALT00000040727.4
RAB12	RAB12_rna-XM_003640800.4
SLC44A3	SLC44A3_rna-XM_015290727.2
KHDRBS3	KHDRBS3_rna-XM_001231271.5
NRIP1	NRIP1_ENSGALT00000025294.6
USP47	USP47_rna-XM_015286368.2
SERPINA10	SERPINA10_rna-XM_015287767.2
TNFAIP8L3	TNFAIP8L3_rna-XM_025153895.1
CACNA1E	CACNA1E_rna-XM_015290487.2
GPHN	GPHN_ENSGALT00000032611.5
PLLP	PLLP_ENSGALT00000002116.5
TANC2	TANC2_rna-XM_015299386.2
PBRM1	PBRM1_rna-XM_015292729.2
CAPZB	CAPZB_rna-XM_015296835.2
PHLDB2	PHLDB2_rna-XM_015297657.2
TPST2	TPST2_rna-XM_025155471.1
MLA3A	MLA3A_rna-XM_025145694.1
FAM188A	FAM188A_rna-XM_418629.6
MORN5	MORN5_rna-XM_001235418.5
TAL2	TAL2_rna-XM_015280439.2
TMEM116	TMEM116_ENSGALT00000007595.6
RAE1	RAE1_rna-XM_015296409.2
SENP6	SENP6_rna-XM_025148959.1
BMPER	BMPER_rna-XM_015281550.2
FYB	FYB_rna-XM_015277341.2
PDAP1	PDAP1_rna-XM_414797.6
CHTF8	CHTF8_rna-NM_001277638.1
IFNAL6	IFNAL6_rna-XM_004937096.2
DLK1	DLK1_rna-XM_025150792.1
GOLM1	GOLM1_ENSGALT00000020577.7
ZNF302	ZNF302_rna-XM_025141561.1
CCDC17	CCDC17_rna-XM_004936753.3
PEX2	PEX2_rna-XM_015282788.2
USP30	USP30_ENSGALT00000046436.2
FIGLA	FIGLA_rna-XM_025142899.1
PROM1	PROM1_rna-XM_004936154.3
MRPL21	MRPL21_rna-NM_001199518.1
AFAP1L2	AFAP1L2_rna-XM_025151945.1
PCNX4	PCNX4_ENSGALT00000019451.6
TMEM206	TMEM206_rna-XM_015283869.2
RAP1GAP2	RAP1GAP2_rna-NM_001031478.2
SSNA1	SSNA1_rna-XM_025148362.1
FLOT2	FLOT2_rna-XM_025141960.1
CCDC92	CCDC92_rna-XM_025155655.1
DAB2IP	DAB2IP_rna-XM_015279831.2
DEAF1	DEAF1_rna-NM_001137649.1
FAM19A5	FAM19A5_rna-XM_025153804.1
RLTPR	RLTPR_rna-XM_015279171.2
MRPL42	MRPL42_ENSGALT00000018422.6
FBXW11	FBXW11_rna-XM_015293594.2
PLS3	PLS3_rna-XM_025149554.1
PPM1F	PPM1F_rna-XM_015275684.2
ILDR2	ILDR2_rna-XM_025144560.1
ADGRG3	ADGRG3_rna-XM_015292335.2
WASF1	WASF1_rna-XM_015284566.2
SIAH3	SIAH3_ENSGALT00000045830.3
KIAA1217	KIAA1217_rna-XM_004939233.3
LBR	LBR_rna-XM_015283627.2
NAP1L1	NAP1L1_rna-XM_025154390.1
CCR2	CCR2_rna-NM_001045835.1
ARHGEF6	ARHGEF6_rna-NM_001006432.1
NRCAM	NRCAM_rna-XM_025146807.1
PRPF39	PRPF39_rna-XM_015276784.2
TAB1	TAB1_ENSGALT00000019844.5
ACSL6	ACSL6_rna-XM_015294076.2
SKIDA1	SKIDA1_rna-XM_015281606.2
COL15A1	COL15A1_rna-XM_015275923.2
ONECUT2	ONECUT2_ENSGALT00000053360.2
ADCYAP1R1	ADCYAP1R1_rna-XM_015281073.2
GPR68	GPR68_ENSGALT00000100339.1
KANSL2	KANSL2_rna-XM_025145679.1
RIMBP3C	RIMBP3C_rna-XM_025143270.1
STK17A	STK17A_rna-NM_001030995.1
TMEM116	TMEM116_rna-XM_004945604.3
TOP3B	TOP3B_rna-XM_015275236.2
GPX7	GPX7_ENSGALT00000017302.6
FAM96B	FAM96B_rna-XM_414150.6
GNL3	GNL3_ENSGALT00000002455.6
C1H21ORF91	C1H21ORF91_ENSGALT00000043255.4
DSCAML1	DSCAML1_ENSGALT00000011835.6
SLC34A1	SLC34A1_rna-XM_015293846.2
LCMT2	LCMT2_ENSGALT00000028012.6
REV1	REV1_rna-XM_025149992.1
CDH23	CDH23_rna-XM_015288251.2
CLIP1	CLIP1_rna-XM_015275201.2
HERC2	HERC2_rna-NM_001252376.1
DRAXIN	DRAXIN_rna-NM_001142848.2
NUDT5	NUDT5_rna-XM_015296341.2
TRMT10A	TRMT10A_rna-XM_025150495.1
LMO2	LMO2_rna-XM_015286755.2
ARHGEF10L	ARHGEF10L_rna-XM_025142711.1
MAP7D1	MAP7D1_rna-XM_025143124.1
RPAIN	RPAIN_rna-XM_004946468.3
TWSG1	TWSG1_rna-XM_025146996.1
ITPR1	ITPR1_rna-XM_015292941.2
KEL	KEL_rna-XM_015294116.2
ARMC1	ARMC1_rna-NM_001031573.1
TACC2	TACC2_rna-XM_025151742.1
RASSF6	RASSF6_ENSGALT00000019068.6
MPP2	MPP2_rna-XM_015299616.1
UBR1	UBR1_ENSGALT00000015050.7
SCAP	SCAP_ENSGALT00000104206.1
FLRT2	FLRT2_rna-XM_004941848.3
CADPS	CADPS_rna-XM_015293301.1
MATN2	MATN2_rna-XM_025148055.1
TAF8	TAF8_ENSGALT00000045819.3
FAR1	FAR1_rna-XM_015286359.2
CCND3	CCND3_ENSGALT00000005513.4
AP3M1	AP3M1_ENSGALT00000008126.6
H3F3C	H3F3C_rna-NM_001031482.2
CLASP2	CLASP2_rna-XM_015281528.2
PYGO2	PYGO2_ENSGALT00000061469.2
C6H10orf11	C6H10orf11_rna-XM_015288293.2
RCOR1	RCOR1_rna-XM_025150951.1
AFMID	AFMID_rna-XM_004946295.3
TNFAIP8	TNFAIP8_rna-XM_015280612.2
HNRNPKL	HNRNPKL_rna-XM_025144533.1
FER1L6	FER1L6_ENSGALT00000081620.2
BPTF	BPTF_rna-XM_015279971.2
NEK1	NEK1_rna-XM_015285381.2
NRXN3	NRXN3_rna-XM_025150775.1
ZC3H7B	ZC3H7B_rna-XM_004937706.3
mesd	mesd_rna-NM_001030551.2
TPM3	TPM3_rna-NM_001352042.1
NSL1	NSL1_rna-XM_025148669.1
PTCD3	PTCD3_rna-XM_025150309.1
GPR87	GPR87_rna-XM_015291847.2
TRAF5	TRAF5_ENSGALT00000107032.1
NRBP1	NRBP1_rna-XM_015284982.2
ZNF185L	ZNF185L_rna-XM_015278553.1
BLB3	BLB3_rna-XM_015302129.2
EDNRB2	EDNRB2_rna-XM_015278150.2
UHMK1	UHMK1_ENSGALT00000004312.5
PARP12	PARP12_rna-XM_416333.6
FNBP4	FNBP4_rna-XM_424260.6_shortIntron
DLX3	DLX3_ENSGALT00000047080.2
FAM214B	FAM214B_rna-XM_004937122.3
PSPC1	PSPC1_rna-XM_025150592.1
FYB	FYB_rna-XM_015277342.2
INTS10	INTS10_rna-NM_001039297.1
PCBP3	PCBP3_rna-XM_004942518.3
SAFB2	SAFB2_rna-XM_004948731.3
ETV7	ETV7_rna-XM_004934881.3
ADAMTSL2	ADAMTSL2_rna-XM_004945948.3
ARMC1	ARMC1_rna-XM_025147335.1
TRIL	TRIL_ENSGALT00000018177.7
VIPAS39	VIPAS39_rna-XM_015287721.2
NHLRC4	NHLRC4_ENSGALT00000044864.4
SLC37A3	SLC37A3_rna-XM_015285532.2
ALDH3A2	ALDH3A2_rna-NM_001006223.1
SEMA3G	SEMA3G_rna-XM_025154687.1
RAD18	RAD18_ENSGALT00000087724.2
OXR1	OXR1_rna-XM_025148135.1
TPPP2	TPPP2_ENSGALT00000024550.7
NBEA	NBEA_ENSGALT00000107478.1
DEF8	DEF8_rna-XM_001232733.5
CYB5A	CYB5A_ENSGALT00000022289.5
CACNB2	CACNB2_rna-XM_015282013.2
HNRNPA2B1	HNRNPA2B1_rna-NM_001030985.1
STBD1	STBD1_rna-XM_015276431.2
MYO9B	MYO9B_rna-XM_015300063.2
SIGMAR1	SIGMAR1_ENSGALT00000052955.2
SMOC2	SMOC2_rna-XM_015284371.2
TPH2	TPH2_rna-XM_025147087.1
ZBTB14	ZBTB14_rna-NM_205161.1
MOB3B	MOB3B_ENSGALT00000086679.2
TRIP4	TRIP4_rna-XM_025154058.1
EXOC7	EXOC7_rna-XM_025141595.1
IL17RE	IL17RE_rna-XM_015293343.2
USP30	USP30_rna-XM_025155695.1
EIF4G1	EIF4G1_ENSGALT00000070449.2
ACTN1	ACTN1_rna-XM_015287257.2
AIM1L	AIM1L_rna-XM_015297560.2
HSD11B1L	HSD11B1L_rna-XM_015299684.2
UBE2E1	UBE2E1_rna-XM_015281794.2
MYCBPAP	MYCBPAP_rna-XM_015295494.2
GnRH-I	GnRH-I_ENSGALT00000000366.3
SNCG	SNCG_rna-XM_015287957.2
SH2B3	SH2B3_rna-XM_015275574.2
MR1	MR1_rna-XM_025155885.1
TFB1M	TFB1M_rna-XM_004935644.3
RCC1L	RCC1L_rna-NM_001006212.1
MB21D2	MB21D2_ENSGALT00000011685.6
MSANTD2	MSANTD2_rna-XM_015298050.2
CCDC167	CCDC167_ENSGALT00000016501.6
ZNF532	ZNF532_rna-XM_004949006.3
FBXO30	FBXO30_rna-XM_015284295.2
TPCN1	TPCN1_rna-XM_025155738.1
NAGPA	NAGPA_rna-XM_025155342.1
FBXL4	FBXL4_rna-XM_004940362.3
URAH	URAH_rna-XM_025154196.1
NUDT1	NUDT1_rna-NM_001006160.2
SORBS1	SORBS1_rna-XM_015288480.2
HAS2	HAS2_rna-NM_204806.2
IHH	IHH_rna-NM_204957.2
NDUFA5	NDUFA5_ENSGALT00000014337.6
RAP1GAP1	RAP1GAP1_rna-XM_025142833.1
MBNL3	MBNL3_rna-XM_015278258.2
R3HDM1	R3HDM1_rna-XM_025152351.1
PDE4C	PDE4C_rna-XM_015300159.2
ARRDC4	ARRDC4_rna-XM_015292275.2
BUD13	BUD13_ENSGALT00000105574.1
TSSK6L2	TSSK6L2_rna-XM_004942581.3
TTC19	TTC19_ENSGALT00000007038.6
OSER1	OSER1_rna-XM_015296370.2
TNIK	TNIK_rna-XM_025153741.1
COX20	COX20_rna-NM_001277664.1
STOML1	STOML1_rna-XM_025153810.1
BIN1	BIN1_rna-XM_015289813.2
SMPX	SMPX_rna-XM_001234018.5
ARHGAP45	ARHGAP45_rna-XM_015299927.2
TBC1D30	TBC1D30_rna-XM_015282716.2
MLXIP	MLXIP_ENSGALT00000007010.7
INTU	INTU_rna-XM_015276636.2
NRXN3	NRXN3_rna-XM_015287411.2
MSLN	MSLN_rna-XM_015294432.2
2KTGRL	2KTGRL_rna-XM_025147619.1
SLC37A1	SLC37A1_rna-XM_015300978.2
STRADA	STRADA_rna-NM_001305191.1
ASPA	ASPA_ENSGALT00000007439.6
ITGB2	ITGB2_rna-XM_015289134.2
EIF4B	EIF4B_rna-XM_025145601.1
SELENOO	SELENOO_ENSGALT00000066608.2
PLAGL1	PLAGL1_rna-XM_015284208.2
DLG3	DLG3_rna-XM_025150141.1
EVL	EVL_rna-XM_015287474.2
PHLDB1	PHLDB1_rna-XM_015298276.1
REEP4	REEP4_ENSGALT00000097470.1
ANK2	ANK2_rna-XM_025150216.1
PSMD12	PSMD12_ENSGALT00000045765.3
CDK12	CDK12_rna-XM_004948583.3
ANK2	ANK2_rna-XM_025150205.1
PTPRS	PTPRS_rna-XM_025144257.1
NR0B1	NR0B1_ENSGALT00000026260.5
GAREM1	GAREM1_ENSGALT00000091671.1
CDKN3	CDKN3_ENSGALT00000019956.6
LRSAM1	LRSAM1_ENSGALT00000014334.6
DCLRE1B	DCLRE1B_rna-NM_001031500.3
PAN3	PAN3_rna-XM_015278725.2
ZNF71L	ZNF71L_rna-XM_025145926.1_potentialFusion
PMS2	PMS2_rna-XM_015294281.2
MRPL30	MRPL30_rna-XM_025146646.1
CARMIL3	CARMIL3_rna-XM_015272969.2
GTF2I	GTF2I_rna-XM_015295956.2
MHCIY	MHCIY_rna-XM_025155770.1
ANKRD1	ANKRD1_rna-NM_204405.1
TSHZ2	TSHZ2_rna-XM_417506.6
SUPT20H	SUPT20H_ENSGALT00000036465.4
MAP3K13	MAP3K13_rna-XM_025153761.1
NACA	NACA_ENSGALT00000083271.2
PINLYP	PINLYP_rna-XM_424499.6
RASGRF2	RASGRF2_rna-XM_015280710.2
ST3GAL2L	ST3GAL2L_rna-XM_025142293.1
BMF	BMF_rna-XM_015287565.1
CDK11A	CDK11A_rna-XM_025142506.1
ZNF207	ZNF207_rna-XM_004946177.3
OXR1	OXR1_ENSGALT00000095068.1
GMIP	GMIP_rna-XM_423689.6
MAP3K8	MAP3K8_ENSGALT00000095753.1
PSD2	PSD2_rna-XM_004944743.3
CPM	CPM_rna-NM_001199625.1
PTPRK	PTPRK_rna-XM_015284456.2
RPL10A	RPL10A_ENSGALT00000004168.6
ST6GAL1	ST6GAL1_rna-XM_015276829.2
HAUS3L	HAUS3L_rna-XM_004944481.3
ENTHD2	ENTHD2_rna-XM_004946254.3
NEURL1B	NEURL1B_rna-XM_015293831.2
ARID2	ARID2_ENSGALT00000048984.2
MYF6	MYF6_ENSGALT00000030660.5
BG1	BG1_rna-XM_015294974.2
RBFOX2	RBFOX2_rna-XM_015288062.2
TTLL11	TTLL11_rna-XM_015279834.2
MMAA	MMAA_ENSGALT00000016214.6
TMEM106B	TMEM106B_ENSGALT00000074520.2
EVC2	EVC2_rna-XM_015285795.2
PPFIBP1	PPFIBP1_rna-XM_025148986.1
GNA12	GNA12_rna-XM_001233236.5
CPSF2	CPSF2_rna-NM_001031208.2
BORA	BORA_rna-NM_001079741.2
GPR42L	GPR42L_rna-XM_025146226.1
STAT3	STAT3_rna-XM_015299600.2
FAM49B	FAM49B_rna-XM_025148159.1
SIX3	SIX3_rna-NM_204364.2
C1QB	C1QB_rna-XM_004947521.3
NEBL1	NEBL1_rna-XM_025152544.1
TRMT2A	TRMT2A_rna-XM_415080.6
LY96	LY96_ENSGALT00000099825.1
ADCYAP1R1	ADCYAP1R1_rna-XM_015281074.2
MKL1	MKL1_rna-XM_004937713.3
TMEM184A	TMEM184A_rna-XM_001232942.5
PIP5K1B	PIP5K1B_rna-XM_025144715.1
POLG2	POLG2_rna-XM_415670.6
ELOVL2	ELOVL2_ENSGALT00000092770.1
EML5	EML5_rna-XM_015287733.2
FAM173A	FAM173A_rna-NM_001277152.1
UPK1B	UPK1B_rna-XM_015294684.2
FAM53A	FAM53A_rna-XM_015285869.1
NFE2L2	NFE2L2_rna-XM_015289382.2
ARFIP1	ARFIP1_rna-XM_015276330.2
ANKRD34B	ANKRD34B_rna-XM_025144952.1
P2RY6	P2RY6_ENSGALT00000028001.4
MAPK10	MAPK10_rna-XM_420551.6
MIA2	MIA2_rna-XM_015287662.2
SH2D5	SH2D5_ENSGALT00000098843.1
BMF	BMF_rna-XM_015287561.2
NDRG4	NDRG4_rna-XM_001231664.5
AK7	AK7_ENSGALT00000018072.6
SCN1A	SCN1A_rna-XM_004942779.3
TLN2	TLN2_rna-XM_025154114.1
PGA3	PGA3_rna-NM_205054.2
GOLGA7B	GOLGA7B_ENSGALT00000105477.1
CPNE4	CPNE4_rna-XM_025147494.1
FUT11	FUT11_rna-NM_204428.1
MXRA7	MXRA7_rna-XM_015295293.2
CFAP221	CFAP221_ENSGALT00000019764.7
SCAI	SCAI_rna-XM_015279847.2
EIF4A2	EIF4A2_rna-XM_015291368.2
NCF1	NCF1_ENSGALT00000035150.4
